TIME	CALLS	PUTS	TOTAL	P/C RATIO
2022-05-06 09:00:00	299667	285004	584671	0.95
2022-05-06 09:30:00	589245	602841	1192086	1.02
2022-05-06 10:00:00	744052	792871	1536923	1.07
2022-05-06 10:30:00	910809	948254	1859063	1.04
2022-05-06 11:00:00	1021583	1091017	2112600	1.07
2022-05-06 11:30:00	1121136	1196602	2317738	1.07
2022-05-06 12:00:00	1208338	1294495	2502833	1.07
2022-05-06 12:30:00	1304910	1416938	2721848	1.09
2022-05-06 13:00:00	1400087	1520195	2920282	1.09
2022-05-06 13:30:00	1496477	1634523	3131000	1.09
2022-05-06 14:00:00	1641080	1819882	3460962	1.11
2022-05-06 14:30:00	1784343	2007962	3792305	1.13
2022-05-06 15:00:00	2004161	2349258	4353419	1.17
2022-05-06 15:15:00	2040502	2419176	4459678	1.19
